Month,Ticker,Score,Entry_Price,Exit_Price,Return_%
Feb 2024,RELIANCE.NS,1.0,1470.49,1444.33,-1.78
Feb 2024,TCS.NS,1.0,3845.12,3667.68,-4.61
Feb 2024,WIPRO.NS,1.0,241.15,228.3,-5.33
Mar 2024,TCS.NS,1.0,3945.93,3633.74,-7.91
Mar 2024,LT.NS,1.0,3546.98,3548.89,0.05
Mar 2024,BHARTIARTL.NS,1.0,1178.13,1323.84,12.37
Apr 2024,HDFCBANK.NS,1.0,739.25,748.48,1.25
Apr 2024,ICICIBANK.NS,1.0,1086.59,1113.69,2.49
Apr 2024,LT.NS,1.0,3616.82,3564.38,-1.45
May 2024,AXISBANK.NS,1.0,1121.03,1235.44,10.21
May 2024,SUNPHARMA.NS,0.6,1526.11,1449.08,-5.05
May 2024,ICICIBANK.NS,0.4,1102.48,1139.96,3.4
Jun 2024,HDFCBANK.NS,1.0,787.8,791.33,0.45
Jun 2024,WIPRO.NS,1.0,223.8,234.4,4.73
Jun 2024,HCLTECH.NS,1.0,1349.46,1504.85,11.52
Jul 2024,RELIANCE.NS,1.0,1584.99,1494.01,-5.74
Jul 2024,TCS.NS,1.0,3952.27,4226.51,6.94
Jul 2024,INFY.NS,1.0,1643.83,1788.22,8.78
Aug 2024,SUNPHARMA.NS,1.0,1725.54,1845.47,6.95
Aug 2024,TCS.NS,0.4,4066.83,4041.5,-0.62
Aug 2024,INFY.NS,0.4,1750.91,1821.2,4.01
Sep 2024,INFY.NS,1.0,1866.96,1789.42,-4.15
Sep 2024,HDFCBANK.NS,1.0,821.87,863.16,5.02
Sep 2024,ICICIBANK.NS,1.0,1240.78,1243.16,0.19
Oct 2024,INFY.NS,1.0,1881.17,1847.57,-1.79
Oct 2024,HCLTECH.NS,1.0,1763.5,1815.7,2.96
Oct 2024,SUNPHARMA.NS,1.0,1892.08,1778.69,-5.99
Nov 2024,WIPRO.NS,1.0,265.61,286.19,7.75
Nov 2024,HCLTECH.NS,0.4,1777.97,1814.32,2.04
Nov 2024,LT.NS,0.2,3493.67,3606.12,3.22
Dec 2024,TCS.NS,1.0,4246.32,4006.97,-5.64
Dec 2024,INFY.NS,1.0,1942.22,1811.83,-6.71
Dec 2024,HDFCBANK.NS,1.0,923.39,821.35,-11.05
Jan 2025,BAJAJFINSV.NS,1.0,1712.67,1878.43,9.68
Jan 2025,MARUTI.NS,1.0,11615.43,12191.5,4.96
Jan 2025,INFY.NS,0.4,1884.29,1762.83,-6.45
